,title,bedrooms,price
0,"Luxury converted barn, holiday let, Limousin - UO006046","Bedrooms 2, Sleeps 4, Ratings 3 10/10",£700 to £899 pw
1,"Holiday gite for 2 shared pool, nr Auch, Gers - MG006557","Bedrooms 1, Sleeps 2",£380 pw
2,Traditional holiday cottage to let nr Manche - NM004001,"Bedrooms 2, Sleeps 5, Ratings 4 9.6/10",£350 to £400 pw
3,18th century farmhouse to let in Deux Sevres - PS006183,"Bedrooms 4, Sleeps 9, Ratings 1 9.7/10",£1480 to £1855 pw
4,Charming cottage to let in the Charente  - PC006477,"Bedrooms 2, Sleeps 4, Ratings 4 10/10",£400 to £700 pw
5,Holiday gite for 6 with pool near Riberac - AD006496_B,"Bedrooms 3, Sleeps 6",£600 pw
6,Holiday gite in Aquitaine with private pool - AT004450,"Bedrooms 4, Sleeps 8, Ratings 3 10/10",£1395 to £2395 pw
7,Cottage to let in Brittany - BM004606,"Bedrooms 2, Sleeps 4, Ratings 1 8.2/10",£320 to £395 pw
8,Pretty gite for holiday let Vienne - PV003746,"Bedrooms 1, Sleeps 5",£650 to £700 pw
9,Gite to let with fishing lakes in Charente - PS003434,"Bedrooms 1, Sleeps 2, Ratings 5 9.8/10",£450 pw
10,One of 7 Holiday cottages nr Chalais to rent - PC002350_C,"Bedrooms 1, Sleeps 2, Ratings 3 9.8/10",£350 pw
11,"Family friendly gite to let with pool, Brux - PV007709","Bedrooms 2, Sleeps 4",£475 to £825 pw
12,Holiday farmhouse for rental near Dinan - BI002971,"Bedrooms 7, Sleeps 16, Ratings 4 10/10",£950 to £1950 pw
13,Holiday cottage near beaches in Brittany - BN007110,"Bedrooms 3, Sleeps 7, Ratings 3 9.9/10",£555 to £805 pw
14,Holiday gite for 6 in Normandy village - NM006363,"Bedrooms 3, Sleeps 6",£385 to £500 pw
15,Holiday gite for 4 in rural Mayenne  - LM005296_B,"Bedrooms 3, Sleeps 6, Ratings 10 9.9/10",€517 to €847 pw
16,Gite to let in rural Aquitaine vineyards - AG005537,"Bedrooms 3, Sleeps 5, Ratings 2 10/10",£320 to £391 pw
17,Holiday Let with private pool in Aquitaine - AT004834,"Bedrooms 1, Sleeps 4, Ratings 1 10/10",£350 to £400 pw
18, - PM002983_E,"Bedrooms 2, Sleeps 4",£345 pw
19,"Barn holiday rental, Nord pas de Calais - DP004136","Bedrooms 3, Sleeps 6",£680 pw
20,Holiday gite plus pool in Argol  - BF001630_C,"Bedrooms 2, Sleeps 5, Ratings 4 10/10",€995 pw
21,Large house with pool and lake to let Mayenne - LM006852,"Bedrooms 5, Sleeps 8, Ratings 1 10/10",£900 pw
